arm,seed,capability,auc,accuracy,n_train,n_test,layer
SEM,0,MATH,1.0,1.0,400,200,23
SEM,0,MATH,1.0,1.0,400,200,24
SEM,0,MATH,1.0,1.0,400,200,25
SEM,0,MATH,1.0,1.0,400,200,26
SEM,0,MATH,1.0,1.0,400,200,27
SEM,0,MATH,1.0,1.0,400,200,28
SEM,0,CODE,0.5,0.5,400,180,0
SEM,0,CODE,0.9814814814814815,0.8888888888888888,400,180,1
SEM,0,CODE,0.9962962962962963,0.9555555555555556,400,180,2
SEM,0,CODE,0.9934567901234568,0.95,400,180,3
SEM,0,CODE,0.9992592592592593,0.9833333333333333,400,180,4
SEM,0,CODE,0.9991358024691358,0.9777777777777777,400,180,5
SEM,0,CODE,1.0,0.9944444444444445,400,180,6
SEM,0,CODE,0.9997530864197531,0.9888888888888889,400,180,7
SEM,0,CODE,0.9997530864197531,0.9888888888888889,400,180,8
SEM,0,CODE,1.0,0.9888888888888889,400,180,9
SEM,0,CODE,1.0,1.0,400,180,10
SEM,0,CODE,1.0,1.0,400,180,11
SEM,0,CODE,1.0,1.0,400,180,12
SEM,0,CODE,1.0,1.0,400,180,13
SEM,0,CODE,1.0,1.0,400,180,14
SEM,0,CODE,1.0,1.0,400,180,15
SEM,0,CODE,1.0,1.0,400,180,16
SEM,0,CODE,1.0,1.0,400,180,17
SEM,0,CODE,1.0,1.0,400,180,18
SEM,0,CODE,1.0,1.0,400,180,19
SEM,0,CODE,1.0,1.0,400,180,20
SEM,0,CODE,1.0,1.0,400,180,21
SEM,0,CODE,1.0,1.0,400,180,22
SEM,0,CODE,1.0,1.0,400,180,23
SEM,0,CODE,1.0,1.0,400,180,24
SEM,0,CODE,1.0,1.0,400,180,25
SEM,0,CODE,1.0,1.0,400,180,26
SEM,0,CODE,1.0,1.0,400,180,27
SEM,0,CODE,1.0,1.0,400,180,28
SEM,1,MATH,0.5,0.5,400,200,0
SEM,1,MATH,0.9829,0.945,400,200,1
SEM,1,MATH,0.9941,0.94,400,200,2
SEM,1,MATH,0.9887,0.945,400,200,3
SEM,1,MATH,0.9995,0.98,400,200,4
SEM,1,MATH,0.9986,0.98,400,200,5
SEM,1,MATH,0.9981,0.98,400,200,6
SEM,1,MATH,0.9951,0.96,400,200,7
SEM,1,MATH,0.998,0.975,400,200,8
SEM,1,MATH,0.9992,0.98,400,200,9
SEM,1,MATH,1.0,0.995,400,200,10
SEM,1,MATH,1.0,1.0,400,200,11
SEM,1,MATH,1.0,1.0,400,200,12
SEM,1,MATH,1.0,1.0,400,200,13
SEM,1,MATH,1.0,1.0,400,200,14
SEM,1,MATH,1.0,1.0,400,200,15
SEM,1,MATH,1.0,1.0,400,200,16
SEM,1,MATH,1.0,1.0,400,200,17
SEM,1,MATH,1.0,1.0,400,200,18
SEM,1,MATH,1.0,1.0,400,200,19
SEM,1,MATH,1.0,1.0,400,200,20
SEM,1,MATH,1.0,1.0,400,200,21
SEM,1,MATH,1.0,1.0,400,200,22
SEM,1,MATH,1.0,1.0,400,200,23
SEM,1,MATH,1.0,1.0,400,200,24
SEM,1,MATH,1.0,1.0,400,200,25
SEM,1,MATH,1.0,1.0,400,200,26
SEM,1,MATH,1.0,0.995,400,200,27
SEM,1,MATH,1.0,0.995,400,200,28
SEM,1,CODE,0.5,0.5,400,180,0
SEM,1,CODE,0.9569135802469135,0.8111111111111111,400,180,1
SEM,1,CODE,0.995679012345679,0.9611111111111111,400,180,2
SEM,1,CODE,0.9975308641975309,0.9722222222222222,400,180,3
SEM,1,CODE,0.9988888888888889,0.9777777777777777,400,180,4
SEM,1,CODE,0.9982716049382716,0.9888888888888889,400,180,5
SEM,1,CODE,0.9919753086419754,0.9444444444444444,400,180,6
SEM,1,CODE,0.9807407407407407,0.9166666666666666,400,180,7
SEM,1,CODE,0.9933333333333333,0.9777777777777777,400,180,8
SEM,1,CODE,0.9985185185185185,0.9833333333333333,400,180,9
SEM,1,CODE,1.0,1.0,400,180,10
SEM,1,CODE,1.0,0.9944444444444445,400,180,11
SEM,1,CODE,1.0,1.0,400,180,12
SEM,1,CODE,1.0,1.0,400,180,13
SEM,1,CODE,1.0,1.0,400,180,14
SEM,1,CODE,1.0,1.0,400,180,15
SEM,1,CODE,1.0,1.0,400,180,16
SEM,1,CODE,1.0,1.0,400,180,17
SEM,1,CODE,1.0,1.0,400,180,18
SEM,1,CODE,1.0,1.0,400,180,19
SEM,1,CODE,1.0,1.0,400,180,20
SEM,1,CODE,1.0,1.0,400,180,21
SEM,1,CODE,1.0,1.0,400,180,22
SEM,1,CODE,1.0,1.0,400,180,23
SEM,1,CODE,1.0,1.0,400,180,24
SEM,1,CODE,1.0,1.0,400,180,25
SEM,1,CODE,1.0,1.0,400,180,26
SEM,1,CODE,1.0,1.0,400,180,27
SEM,1,CODE,1.0,1.0,400,180,28
PW_XT,0,MATH,0.5,0.5,400,200,0
PW_XT,0,MATH,1.0,1.0,400,200,1
PW_XT,0,MATH,1.0,1.0,400,200,2
PW_XT,0,MATH,1.0,1.0,400,200,3
PW_XT,0,MATH,1.0,1.0,400,200,4
PW_XT,0,MATH,1.0,1.0,400,200,5
PW_XT,0,MATH,1.0,1.0,400,200,6
PW_XT,0,MATH,1.0,1.0,400,200,7
PW_XT,0,MATH,1.0,1.0,400,200,8
PW_XT,0,MATH,1.0,1.0,400,200,9
PW_XT,0,MATH,1.0,1.0,400,200,10
PW_XT,0,MATH,1.0,1.0,400,200,11
