arm,seed,capability,layer,source,is_primary,participation_ratio_centered,participation_ratio_uncentered,direction_norm,heldout_cohens_d,n_pairs
PW,1,MATH,12,heldout_templates,True,12.066710423506988,1.1807690554906132,18.08929443359375,22.61822509765625,100
PW,1,MATH,13,heldout_templates,True,13.510113442846125,1.1385890745017904,20.600318908691406,21.997648239135742,100
PW,1,MATH,14,heldout_templates,True,15.080246469900787,1.11850461338768,26.38725471496582,28.176828384399414,100
PW,1,MATH,15,heldout_templates,True,15.90424410122824,1.0912228688803745,31.25120735168457,37.547576904296875,100
PW,1,MATH,16,heldout_templates,True,23.33812028561851,1.1688160388356805,30.439884185791016,34.10612869262695,100
PW,1,MATH,17,heldout_templates,True,25.103518899723998,1.2848953977177888,31.102428436279297,33.064720153808594,100
PW,1,MATH,18,heldout_templates,True,26.269206822530673,1.3336449277831501,32.13418960571289,31.22914695739746,100
PW,1,MATH,19,heldout_templates,True,28.98174813068829,1.4145130912575212,34.84267807006836,28.64076042175293,100
PW,1,MATH,20,heldout_templates,True,28.486826246026336,1.4797364251580953,34.48951721191406,24.89771270751953,100
PW,1,MATH,21,heldout_templates,True,34.71749192662302,1.6884770986945095,38.515586853027344,20.789997100830078,100
PW,1,MATH,22,heldout_templates,True,34.66552555160353,2.009087486794304,42.55751419067383,18.061065673828125,100
PW,1,MATH,23,heldout_templates,True,35.84969236219535,2.0596008423155627,49.69010925292969,16.52996253967285,100
PW,1,MATH,24,heldout_templates,True,37.00657671413811,2.2134675246941957,54.69963073730469,14.607301712036133,100
PW,1,MATH,25,heldout_templates,True,37.913323892033475,2.2454185039506522,62.499786376953125,13.772194862365723,100
PW,1,MATH,26,heldout_templates,True,38.17737918985645,2.5177336635800884,64.82859802246094,13.134686470031738,100
PW,1,MATH,27,heldout_templates,True,38.055095011699876,2.623588645873939,72.8880615234375,9.984118461608887,100
PW,1,MATH,28,heldout_templates,True,35.33029611558121,3.0072515231432644,62.560218811035156,8.74249267578125,100
PW,1,CODE,0,train_templates,False,1.0000000000000036,1.0,0.0036644835490733385,0.0,200
PW,1,CODE,1,train_templates,False,1.9295468767676225,2.75959583157036,1.4398797750473022,12.371277809143066,200
PW,1,CODE,2,train_templates,False,2.8019394397286237,2.5417214539592776,2.6562867164611816,21.785594940185547,200
PW,1,CODE,3,train_templates,False,3.8922546995291274,1.6753051450875,6.091489791870117,17.66861915588379,200
PW,1,CODE,4,train_templates,False,5.804998352734166,1.7198864076241913,7.552464962005615,20.520383834838867,200
PW,1,CODE,5,train_templates,False,4.843772989151623,1.9698287609553684,7.718447208404541,19.01881980895996,200
PW,1,CODE,6,train_templates,False,6.592226945689626,1.8455903189128362,8.444257736206055,13.841582298278809,200
PW,1,CODE,7,train_templates,False,6.605977334887056,1.7727946060831634,8.57437515258789,12.694756507873535,200
PW,1,CODE,8,train_templates,False,5.712140988064357,1.6938802215374993,9.24409008026123,13.449524879455566,200
PW,1,CODE,9,train_templates,False,5.966871920611022,1.597524463773944,9.368839263916016,14.285905838012695,200
PW,1,CODE,10,train_templates,False,5.836996723412553,1.4715299793941894,10.751790046691895,14.910515785217285,200
PW,1,CODE,11,train_templates,False,7.026283600993598,1.5116961267614422,11.675771713256836,9.64185619354248,200
PW,1,CODE,12,train_templates,False,6.59673749143443,1.4641405797024845,13.712919235229492,9.023066520690918,200
PW,1,CODE,13,train_templates,False,6.346455259227457,1.4825101137419787,13.371050834655762,9.129291534423828,200
PW,1,CODE,14,train_templates,False,7.130412106828034,1.4990247934001961,14.57952880859375,9.550387382507324,200
PW,1,CODE,15,train_templates,False,7.514505765347176,1.4478094545600746,15.901341438293457,11.028038024902344,200
PW,1,CODE,16,train_templates,False,7.0939099904793395,1.40842645229052,17.205568313598633,13.433966636657715,200
PW,1,CODE,17,train_templates,False,8.142917424080391,1.3256794117058301,22.428926467895508,13.208292007446289,200
PW,1,CODE,18,train_templates,False,8.022474720749381,1.3018857182276489,24.607742309570312,13.95776081085205,200
PW,1,CODE,19,train_templates,False,8.894178340396014,1.3165041375224105,26.644786834716797,15.503087997436523,200
PW,1,CODE,20,train_templates,False,7.960867187152997,1.2997603507080113,30.764892578125,15.964111328125,200
PW,1,CODE,21,train_templates,False,10.365110661202655,1.3506018120670005,35.46792984008789,17.704774856567383,200
