arm,seed,layer,cosine,source,is_primary,cap_a,cap_b
SEM_XT,0,1,0.5388697981834412,heldout_templates,True,MATH,CODE
SEM_XT,0,2,0.47929227352142334,heldout_templates,True,MATH,CODE
SEM_XT,0,3,0.4327240586280823,heldout_templates,True,MATH,CODE
SEM_XT,0,4,0.6511073112487793,heldout_templates,True,MATH,CODE
SEM_XT,0,5,0.6002647876739502,heldout_templates,True,MATH,CODE
SEM_XT,0,6,0.4754278063774109,heldout_templates,True,MATH,CODE
SEM_XT,0,7,0.440023273229599,heldout_templates,True,MATH,CODE
SEM_XT,0,8,0.48218679428100586,heldout_templates,True,MATH,CODE
SEM_XT,0,9,0.4769325852394104,heldout_templates,True,MATH,CODE
SEM_XT,0,10,0.5716095566749573,heldout_templates,True,MATH,CODE
SEM_XT,0,11,0.604271650314331,heldout_templates,True,MATH,CODE
SEM_XT,0,12,0.375910222530365,heldout_templates,True,MATH,CODE
SEM_XT,0,13,0.4860970675945282,heldout_templates,True,MATH,CODE
SEM_XT,0,14,0.48222678899765015,heldout_templates,True,MATH,CODE
SEM_XT,0,15,0.4669502377510071,heldout_templates,True,MATH,CODE
SEM_XT,0,16,0.39700618386268616,heldout_templates,True,MATH,CODE
SEM_XT,0,17,0.3966159522533417,heldout_templates,True,MATH,CODE
SEM_XT,0,18,0.40813148021698,heldout_templates,True,MATH,CODE
SEM_XT,0,19,0.4436599314212799,heldout_templates,True,MATH,CODE
SEM_XT,0,20,0.44345977902412415,heldout_templates,True,MATH,CODE
SEM_XT,0,21,0.4223012626171112,heldout_templates,True,MATH,CODE
SEM_XT,0,22,0.3296970725059509,heldout_templates,True,MATH,CODE
SEM_XT,0,23,0.2889553904533386,heldout_templates,True,MATH,CODE
SEM_XT,0,24,0.281559020280838,heldout_templates,True,MATH,CODE
SEM_XT,0,25,0.2837102711200714,heldout_templates,True,MATH,CODE
SEM_XT,0,26,0.27717679738998413,heldout_templates,True,MATH,CODE
SEM_XT,0,27,0.30851638317108154,heldout_templates,True,MATH,CODE
SEM_XT,0,28,0.13367989659309387,heldout_templates,True,MATH,CODE
SEM_XT,1,0,,train_templates,False,MATH,CODE
SEM_XT,1,1,0.5863829851150513,train_templates,False,MATH,CODE
SEM_XT,1,2,0.609117329120636,train_templates,False,MATH,CODE
SEM_XT,1,3,0.6344563364982605,train_templates,False,MATH,CODE
SEM_XT,1,4,0.8545283079147339,train_templates,False,MATH,CODE
SEM_XT,1,5,0.8060511350631714,train_templates,False,MATH,CODE
SEM_XT,1,6,0.809463620185852,train_templates,False,MATH,CODE
SEM_XT,1,7,0.7427822947502136,train_templates,False,MATH,CODE
SEM_XT,1,8,0.6859298944473267,train_templates,False,MATH,CODE
